X_MAE,X_RMSE,Y_MAE,Y_RMSE,Z_MAE,Z_RMSE,Avg_MAE,Avg_RMSE
36.425,819.11,34.85,465.13403,34.488,629.109,35.25433,637.78436
38.329002,828.76697,26.898998,777.6,34.35,298.583,33.192665,634.98334
35.458,881.388,20.872,187.025,29.684,598.734,28.671333,555.71564
38.737003,530.86597,28.251999,542.211,20.656,289.329,29.214998,454.13528
32.756,785.557,18.508999,299.97598,26.369,724.28796,25.878,603.2736
40.574,1251.1991,18.794,384.202,24.237999,462.503,27.868668,699.30133
33.065002,844.93787,18.695,237.46098,25.887,698.838,25.882334,593.7456
36.987,328.60504,28.428,141.15099,39.583,842.533,34.999332,437.4297
38.529,1146.199,32.456997,105.759995,31.824001,722.213,34.27,658.0573
65.142006,761.986,43.788998,254.01299,64.881,764.821,57.937332,593.6067
50.565002,1408.0071,46.044,729.285,193.384,4148.6167,96.66434,2095.303
31.846003,524.393,20.314001,754.15393,29.295002,1025.407,27.151667,767.9846
28.411,498.433,12.430999,274.01,24.202,162.28201,21.681334,311.57498
44.218,952.004,12.539999,73.103004,41.804005,519.495,32.854,514.8674
35.446,1005.694,13.8880005,169.891,33.672,566.85,27.668665,580.81165
176.524,9580.693,546.53503,33430.617,1621.281,109503.81,781.4467,50838.375
34.11,443.27597,30.335001,516.24695,40.989998,926.65393,35.145,628.72565
46.89,1328.889,56.095997,2314.226,136.268,7228.475,79.751335,3623.8633
