X_MAE,X_RMSE,Y_MAE,Y_RMSE,Z_MAE,Z_RMSE,Avg_MAE,Avg_RMSE
86.40099,98.15099,128.502,134.135,20.404,31.48,78.43566,87.922
76.296005,88.18,216.682,222.55098,161.704,167.943,151.56067,159.558
146.53201,155.03198,141.544,150.93797,184.715,194.984,157.597,166.98466
81.976,94.80599,249.493,255.49797,182.267,191.35501,171.24532,180.55298
82.857,92.814,32.036003,48.03,208.673,213.658,107.85534,118.167336
100.128,112.897995,73.447,79.262,177.615,183.926,117.06333,125.362
164.672,171.93098,167.969,173.65298,39.741997,48.098,124.12766,131.22733
29.797998,55.890003,94.166,101.493004,141.112,155.748,88.358665,104.37701
98.498985,107.527,111.59501,118.91899,60.003998,74.184,90.03266,100.20999
74.032,125.21599,270.13104,281.71805,303.674,545.845,215.94568,317.593
68.714,86.778,171.828,180.88899,198.703,255.577,146.415,174.41467
74.77901,87.241,83.348,89.878,104.934006,110.827,87.68701,95.981995
105.941,114.71001,103.912,110.59801,29.176,37.010002,79.67633,87.43934
112.370995,123.90401,189.884,195.996,89.579,102.35299,130.61134,140.751
41.452003,54.088997,77.80601,85.338,31.154999,51.564995,50.13767,63.664
2600.781,2760.741,7731.3257,8268.605,13039.067,14232.578,7790.391,8420.642
177.896,186.996,93.136,99.965004,139.47601,146.14401,136.836,144.36833
242.53702,265.7,584.51904,623.37897,888.94104,984.897,571.999,624.6586
