X_MAE,X_RMSE,Y_MAE,Y_RMSE,Z_MAE,Z_RMSE,Avg_MAE,Avg_RMSE
11.459001,15.914,9.057,12.7839985,8.743001,11.597999,9.753001,13.431999
11.281001,15.780001,9.1259985,12.858999,8.871,11.889999,9.759334,13.509666
11.216,15.679001,9.1310005,12.884999,9.045,12.0720005,9.797334,13.545334
11.185,15.683001,9.302,12.612,9.509001,15.376001,9.998667,14.557002
10.823,15.198,8.971,12.133,8.845001,12.233,9.546333,13.188001
10.961,15.239,7.0550003,9.262,8.409999,11.503,8.808666,12.001332
10.271001,14.386,7.3100004,9.511999,8.744,11.604001,8.775001,11.834
12.625001,17.346,10.159,13.120999,9.083,29.457,10.622334,19.974667
11.488,15.974001,9.814,12.691,9.814,23.106998,10.372001,17.257334
18.217999,77.814995,20.184002,25.3,19.574,313.194,19.325333,138.76967
16.550999,34.749,19.911999,23.292002,13.689,87.35901,16.717333,48.46667
9.511001,13.745999,6.575,8.488,8.929999,11.596,8.338666,11.276666
9.051001,13.143001,6.4550004,8.367001,8.474,11.062999,7.9933333,10.857667
10.81,15.563001,4.0150003,5.4420004,10.191999,14.164001,8.339,11.723001
10.455001,14.418001,3.6220002,4.934,9.651,12.886002,7.9093337,10.746001
13.160998,17.442,4.373,6.674,73.468994,87.254,30.33433,37.123333
12.171999,16.281002,2.44,4.929,10.030999,13.9279995,8.214333,11.7126665
11.838,20.256,8.676,11.486001,13.827001,40.603,11.447,24.115
